nom_molecule,classement_1,classement_2,diff_classement
CHEBI_60197.csv,373,275,-98
CHEBI_145333.csv,475,376,-99
CHEBI_5791.csv,622,522,-100
CHEBI_144376.csv,555,455,-100
CHEBI_59862.csv,623,523,-100
CHEBI_63941.csv,624,524,-100
CHEBI_61715.csv,360,259,-101
CHEBI_3795.csv,736,635,-101
CHEBI_57893.csv,474,373,-101
CHEBI_480999.csv,492,390,-102
CHEBI_6113.csv,449,347,-102
CHEBI_47739.csv,737,634,-103
CHEBI_132643.csv,453,350,-103
CHEBI_32295.csv,738,633,-105
CHEBI_70820.csv,556,451,-105
CHEBI_229693.csv,337,232,-105
CHEBI_65540.csv,488,383,-105
CHEBI_68929.csv,525,419,-106
CHEBI_63943.csv,476,370,-106
CHEBI_66162.csv,477,371,-106
CHEBI_18399.csv,739,632,-107
CHEBI_67303.csv,507,398,-109
CHEBI_136404.csv,726,616,-110
CHEBI_65287.csv,333,223,-110
CHEBI_67621.csv,331,220,-111
CHEBI_144374.csv,485,374,-111
CHEBI_223316.csv,589,478,-111
CHEBI_88050.csv,740,628,-112
CHEBI_17303.csv,727,615,-112
CHEBI_64492.csv,749,636,-113
CHEBI_38053.csv,741,627,-114
CHEBI_136430.csv,728,614,-114
CHEBI_65725.csv,512,397,-115
CHEBI_50161.csv,508,393,-115
CHEBI_59950.csv,733,617,-116
CHEBI_60540.csv,735,618,-117
CHEBI_38471.csv,511,394,-117
CHEBI_52199.csv,356,239,-117
CHEBI_36330.csv,590,473,-117
CHEBI_36429.csv,729,611,-118
CHEBI_4912.csv,346,228,-118
CHEBI_70792.csv,481,362,-119
CHEBI_132646.csv,414,295,-119
CHEBI_2483.csv,592,471,-121
CHEBI_78567.csv,490,369,-121
CHEBI_7454.csv,730,608,-122
CHEBI_38510.csv,510,388,-122
CHEBI_35911.csv,421,299,-122
CHEBI_66123.csv,487,364,-123
CHEBI_132628.csv,410,286,-124
CHEBI_69349.csv,357,233,-124
CHEBI_4752.csv,731,606,-125
CHEBI_85905.csv,732,604,-128
CHEBI_195280.csv,466,337,-129
CHEBI_49191.csv,734,601,-133
CHEBI_68361.csv,430,297,-133
CHEBI_67310.csv,538,404,-134
CHEBI_3216.csv,365,229,-136
CHEBI_2942.csv,524,387,-137
CHEBI_132644.csv,402,260,-142
CHEBI_33740.csv,468,326,-142
CHEBI_132639.csv,428,285,-143
CHEBI_132864.csv,464,320,-144
CHEBI_68930.csv,493,343,-150
CHEBI_16380.csv,463,313,-150
CHEBI_5987.csv,620,470,-150
CHEBI_6941.csv,621,469,-152
CHEBI_88044.csv,498,346,-152
CHEBI_57753.csv,497,345,-152
CHEBI_39231.csv,505,352,-153
CHEBI_156445.csv,422,265,-157
CHEBI_65263.csv,382,224,-158
CHEBI_194499.csv,462,302,-160
CHEBI_5283.csv,419,257,-162
CHEBI_65667.csv,522,360,-162
CHEBI_5779.csv,521,356,-165
CHEBI_77834.csv,748,582,-166
CHEBI_65905.csv,386,219,-167
CHEBI_77617.csv,470,301,-169
CHEBI_2415.csv,520,351,-169
CHEBI_52490.csv,519,344,-175
CHEBI_69351.csv,396,218,-178
CHEBI_68367.csv,425,242,-183
CHEBI_61147.csv,399,215,-184
CHEBI_142771.csv,494,309,-185
CHEBI_60487.csv,478,292,-186
CHEBI_85471.csv,518,331,-187
CHEBI_136462.csv,479,291,-188
CHEBI_65528.csv,527,338,-189
CHEBI_140779.csv,743,552,-191
CHEBI_136403.csv,480,287,-193
CHEBI_5790.csv,533,335,-198
CHEBI_16776.csv,531,333,-198
CHEBI_82596.csv,482,284,-198
CHEBI_28463.csv,534,336,-198
CHEBI_57871.csv,650,447,-203
CHEBI_33751.csv,536,329,-207
CHEBI_16714.csv,486,270,-216
CHEBI_35646.csv,491,274,-217
CHEBI_141329.csv,642,413,-229
CHEBI_141991.csv,747,500,-247
CHEBI_66161.csv,523,271,-252
CHEBI_65666.csv,496,244,-252
CHEBI_58930.csv,515,261,-254
CHEBI_66336.csv,529,266,-263
CHEBI_49195.csv,514,249,-265
CHEBI_58485.csv,530,254,-276
CHEBI_58097.csv,517,240,-277
CHEBI_65467.csv,532,251,-281
CHEBI_8691.csv,528,235,-293
CHEBI_28265.csv,673,328,-345
CHEBI_66122.csv,649,298,-351
CHEBI_70791.csv,647,293,-354
CHEBI_67294.csv,648,294,-354
CHEBI_2881.csv,646,290,-356
CHEBI_3796.csv,692,325,-367
CHEBI_65533.csv,689,316,-373
CHEBI_137485.csv,690,317,-373
CHEBI_60064.csv,688,315,-373
CHEBI_65885.csv,691,318,-373
CHEBI_5371.csv,687,312,-375
CHEBI_66338.csv,686,311,-375
CHEBI_66164.csv,669,289,-380
CHEBI_194190.csv,685,305,-380
CHEBI_134687.csv,671,283,-388
CHEBI_65532.csv,670,272,-398
CHEBI_136465.csv,684,281,-403
CHEBI_9984.csv,674,268,-406
CHEBI_6510.csv,683,269,-414
CHEBI_23339.csv,694,279,-415
CHEBI_53579.csv,675,256,-419
CHEBI_82598.csv,677,258,-419
CHEBI_6597.csv,693,273,-420
CHEBI_82975.csv,676,253,-423
CHEBI_8205.csv,672,246,-426
